Ripartizione_geografica;Ordinatore;Significatività_18vs19;Significatività_19vs21;Significatività_21vs22;Significatività_19vs22;Significatività_22vs23;Significatività_23vs24;Significatività_24vs25;Grado;Materia;Anno_new;VALORI;LIVELLO_SUFF
Toscana;13,00;;;;;;Statistically significant;Statistically significant;Grado 5;Italiano;2023-2024;72,45;Sufficienza
Umbria;14,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;72,45;Sufficienza
Calabria;24,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;72,48;Sufficienza
Lazio;16,00;;;;;;Statistically significant;Statistically significant;Grado 2;Matematica;2023-2024;72,48;Sufficienza
Sardegna;26,00;;;;;;Not Statistically significant;Statistically significant;Grado 5;Italiano;2023-2024;72,50;Sufficienza
Piemonte;3,00;;;;;;;Statistically significant;Grado 5;Italiano;2024-2025;72,54;Sufficienza
Liguria;4,00;;;;;Not Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;72,61;Sufficienza
Friuli-Venezia Giulia;10,00;;;;;;Not Statistically significant;Statistically significant;Grado 2;Matematica;2023-2024;72,63;Sufficienza
Abruzzo;18,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Matematica;2022-2023;72,65;Sufficienza
Friuli-Venezia Giulia;10,00;;;;;Not Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;72,70;Sufficienza
Piemonte;3,00;;;;;Statistically significant;Statistically significant;;Grado 5;Italiano;2022-2023;72,73;Sufficienza
Prov. Aut. Trento;8,00;;;Not Statistically significant;;Not Statistically significant;;;Grado 5;Matematica;2021-2022;72,75;Sufficienza
Lombardia;5,00;;;;;Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;72,76;Sufficienza
Campania;20,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Italiano;2022-2023;72,81;Sufficienza
Sardegna;26,00;;;;;;;Statistically significant;Grado 5;Italiano;2024-2025;72,84;Sufficienza
Sicilia;25,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Listening;2021-2022;73,05;Raggiungono il traguardo
Toscana;13,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;73,05;Sufficienza
Valle d'Aosta;2,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;73,08;Sufficienza
Abruzzo;18,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;73,14;Sufficienza
Emilia-Romagna;11,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;73,15;Sufficienza
Friuli-Venezia Giulia;10,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Matematica;2021-2022;73,17;Sufficienza
Lazio;16,00;;Statistically significant;;;;;;Grado 2;Matematica;2018-2019;73,34;Sufficienza
Marche;15,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;73,38;Sufficienza
Lombardia;5,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;73,42;Sufficienza
Toscana;13,00;;Not Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;73,49;Sufficienza
Puglia;21,00;;;;;;;Statistically significant;Grado 5;Italiano;2024-2025;73,52;Sufficienza
Friuli-Venezia Giulia;10,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;73,54;Sufficienza
Basilicata;23,00;;;;;;Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;73,60;Sufficienza
Puglia;21,00;;Statistically significant;;;;;;Grado 2;Matematica;2018-2019;73,61;Sufficienza
Toscana;13,00;;Not Statistically significant;;;;;;Grado 5;Matematica;2018-2019;73,61;Sufficienza
Emilia-Romagna;11,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Italiano;2023-2024;73,67;Sufficienza
Marche;15,00;;;;;;Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;73,70;Sufficienza
Puglia;21,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;73,71;Sufficienza
Abruzzo;18,00;;Statistically significant;;;;;;Grado 2;Matematica;2018-2019;73,72;Sufficienza
Liguria;4,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;73,73;Sufficienza
Prov. Aut. Trento;8,00;;;;;Not Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;73,76;Sufficienza
Marche;15,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;73,81;Sufficienza
Liguria;4,00;;;;;;Statistically significant;Statistically significant;Grado 5;Italiano;2023-2024;73,82;Sufficienza
Campania;20,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;73,85;Sufficienza
Veneto;9,00;;Not Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;73,88;Sufficienza
Emilia-Romagna;11,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;73,90;Sufficienza
Piemonte;3,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;73,94;Sufficienza
Toscana;13,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;74,00;Sufficienza
Prov. Aut. Trento;8,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;74,06;Sufficienza
Friuli-Venezia Giulia;10,00;;Not Statistically significant;;;;;;Grado 5;Matematica;2018-2019;74,07;Sufficienza
Valle d'Aosta;2,00;;;;;;Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;74,07;Sufficienza
Lombardia;5,00;;Statistically significant;;;;;;Grado 2;Matematica;2018-2019;74,08;Sufficienza
Emilia-Romagna;11,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;74,12;Sufficienza
Veneto;9,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;74,16;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;74,18;Sufficienza
Prov. Aut. Trento;8,00;;;;;Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;74,19;Sufficienza
Puglia;21,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;74,19;Raggiungono il traguardo
Valle d'Aosta;2,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;74,20;Sufficienza
Sicilia;25,00;Not Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;74,21;Raggiungono il traguardo
Prov. Aut. Trento;8,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;74,21;Sufficienza
Puglia;21,00;;;;;Statistically significant;Statistically significant;;Grado 5;Italiano;2022-2023;74,22;Sufficienza
Umbria;14,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;74,27;Sufficienza
Toscana;13,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;74,28;Sufficienza
Liguria;4,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;74,28;Sufficienza
Prov. Aut. Trento;8,00;;;;;;Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;74,32;Sufficienza
Basilicata;23,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Matematica;2022-2023;74,38;Sufficienza
Abruzzo;18,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;74,45;Sufficienza
Veneto;9,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;74,45;Sufficienza
Marche;15,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;74,48;Sufficienza
Sardegna;26,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;74,52;Sufficienza
Marche;15,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;74,57;Sufficienza
Piemonte;3,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;74,60;Sufficienza
Friuli-Venezia Giulia;10,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;74,60;Sufficienza
Emilia-Romagna;11,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;74,61;Sufficienza
Abruzzo;18,00;;;;;;Not Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;74,62;Sufficienza
Veneto;9,00;;Not Statistically significant;;;;;;Grado 5;Matematica;2018-2019;74,64;Sufficienza
Campania;20,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;2023-2024;74,66;Sufficienza
Prov. Aut. Trento;8,00;;;;;Not Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;74,68;Sufficienza
Sicilia;25,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;74,71;Raggiungono il traguardo
Abruzzo;18,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Italiano;2022-2023;74,78;Sufficienza
Umbria;14,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;74,89;Sufficienza
Umbria;14,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;74,93;Sufficienza
Prov. Aut. Trento;8,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;74,96;Sufficienza
Liguria;4,00;;Not Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;74,98;Sufficienza
Veneto;9,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;74,98;Sufficienza
Veneto;9,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;75,02;Sufficienza
Friuli-Venezia Giulia;10,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Italiano;2021-2022;75,03;Sufficienza
Sardegna;26,00;;;;;;;Statistically significant;Grado 5;Inglese Listening;2024-2025;75,06;Raggiungono il traguardo
Lombardia;5,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;75,09;Sufficienza
Prov. Aut. Trento;8,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Matematica;2021-2022;75,11;Sufficienza
Abruzzo;18,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;75,14;Sufficienza
Prov. Aut. Trento;8,00;;Not Statistically significant;Not Statistically significant;;;;;Grado 5;Matematica;2020-2021;75,15;Sufficienza
Prov. Aut. Trento;8,00;;Not Statistically significant;;;;;;Grado 5;Matematica;2018-2019;75,24;Sufficienza
Umbria;14,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;75,26;Sufficienza
Basilicata;23,00;;Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;75,27;Sufficienza
Emilia-Romagna;11,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;75,28;Sufficienza
Puglia;21,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;75,30;Sufficienza
Veneto;9,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Italiano;2023-2024;75,30;Sufficienza
Sardegna;26,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Listening;2021-2022;75,31;Raggiungono il traguardo
Umbria;14,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;75,32;Sufficienza
Piemonte;3,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;75,38;Sufficienza
Valle d'Aosta;2,00;;Statistically significant;Not Statistically significant;;;;;Grado 2;Matematica;2020-2021;75,39;Sufficienza
Sardegna;26,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;75,40;Sufficienza
Marche;15,00;;;;;;Statistically significant;Statistically significant;Grado 2;Matematica;2023-2024;75,40;Sufficienza
Lombardia;5,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Italiano;2022-2023;75,40;Sufficienza
Lazio;16,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;75,40;Sufficienza
Prov. Aut. Trento;8,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;75,41;Sufficienza
Basilicata;23,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;75,44;Sufficienza
Abruzzo;18,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;75,44;Sufficienza
Molise;19,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;75,44;Sufficienza
Prov. Aut. Trento;8,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;2023-2024;75,48;Sufficienza
Marche;15,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;75,48;Sufficienza
Puglia;21,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;75,51;Sufficienza
Calabria;24,00;;;;;;Not Statistically significant;Statistically significant;Grado 5;Inglese Listening;2023-2024;75,55;Raggiungono il traguardo
Emilia-Romagna;11,00;;;;;Statistically significant;Statistically significant;;Grado 5;Italiano;2022-2023;75,60;Sufficienza
Puglia;21,00;;;;;Not Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;75,64;Raggiungono il traguardo
Campania;20,00;;Not Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;75,68;Raggiungono il traguardo
Lazio;16,00;;;;;Statistically significant;Statistically significant;;Grado 5;Italiano;2022-2023;75,72;Sufficienza
Sardegna;26,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 5;Italiano;2022-2023;75,76;Sufficienza
Valle d'Aosta;2,00;;;Not Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;75,76;Sufficienza
Friuli-Venezia Giulia;10,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;75,78;Sufficienza
Umbria;14,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;75,82;Sufficienza
Basilicata;23,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Italiano;2021-2022;75,86;Sufficienza
Lombardia;5,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;75,87;Sufficienza
Molise;19,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;75,99;Sufficienza
Lombardia;5,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;75,99;Sufficienza
Veneto;9,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;76,03;Sufficienza
Abruzzo;18,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;76,07;Sufficienza
Puglia;21,00;;Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;76,14;Sufficienza
Piemonte;3,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;76,22;Sufficienza
Friuli-Venezia Giulia;10,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;76,23;Sufficienza
Prov. Aut. Trento;8,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;76,25;Sufficienza
Umbria;14,00;;Statistically significant;Not Statistically significant;;;;;Grado 2;Matematica;2020-2021;76,26;Sufficienza
Sicilia;25,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;76,33;Raggiungono il traguardo
Basilicata;23,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;76,34;Sufficienza
Piemonte;3,00;;;;;;Statistically significant;Statistically significant;Grado 5;Italiano;2023-2024;76,37;Sufficienza
Prov. Aut. Trento;8,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;76,40;Sufficienza
Toscana;13,00;;;;;;;Statistically significant;Grado 5;Italiano;2024-2025;76,41;Sufficienza
Friuli-Venezia Giulia;10,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;76,42;Sufficienza
Emilia-Romagna;11,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;76,46;Sufficienza
Friuli-Venezia Giulia;10,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;2023-2024;76,48;Sufficienza
Molise;19,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Matematica;2022-2023;76,48;Sufficienza
Liguria;4,00;;;;;;;Statistically significant;Grado 5;Italiano;2024-2025;76,50;Sufficienza
Liguria;4,00;;;;;Statistically significant;Statistically significant;;Grado 5;Italiano;2022-2023;76,51;Sufficienza
Molise;19,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;76,51;Sufficienza
Friuli-Venezia Giulia;10,00;;Statistically significant;;;;;;Grado 2;Matematica;2018-2019;76,54;Sufficienza
Campania;20,00;;;Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;76,56;Sufficienza
Puglia;21,00;;;;;;Statistically significant;Statistically significant;Grado 5;Italiano;2023-2024;76,58;Sufficienza
Marche;15,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Matematica;2020-2021;76,62;Sufficienza
Abruzzo;18,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;76,67;Sufficienza
Valle d'Aosta;2,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;76,67;Sufficienza
Lazio;16,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;76,71;Sufficienza
Umbria;14,00;;;;;Not Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;76,78;Sufficienza
Campania;20,00;;;;;Not Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;76,98;Raggiungono il traguardo
Lombardia;5,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;77,05;Sufficienza
Valle d'Aosta;2,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;77,08;Sufficienza
Lazio;16,00;;Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;77,12;Sufficienza
Lazio;16,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;77,18;Sufficienza
Calabria;24,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;77,23;Raggiungono il traguardo
